Opening file net-stats-DvsPortset-2-30sec.txt
Threads inventory for n294-esxi-ht-04.sc.sero.gic.ericsson.se
Iteration Number=0
|                  Port                 |    Switch    | Thread Id |             Name            | Usage | Ready | Cstp | latencySen | exclaff | lcoreusage |   pps   |
| standard5gc-htnp-b9f7d6d9b-z574b.eth2 | DvsPortset-2 |  2103969  | Ens-Lcore-4  | 100.0 |  0.0  | 0.0  |     0      |    22   |   100.0    | 3096232 |
|                 vmnic4                | DvsPortset-2 |  2103969  | Ens-Lcore-4  | 100.0 |  0.0  | 0.0  |     0      |    22   |   100.0    | 3096232 |
|                 vmnic5                | DvsPortset-2 |  2103969  | Ens-Lcore-4  | 100.0 |  0.0  | 0.0  |     0      |    22   |   100.0    | 3096232 |
|                 vmnic8                | DvsPortset-2 |  2103969  | Ens-Lcore-4  | 100.0 |  0.0  | 0.0  |     0      |    22   |   100.0    | 3096232 |
|                 vmnic9                | DvsPortset-2 |  2103969  | Ens-Lcore-4  | 100.0 |  0.0  | 0.0  |     0      |    22   |   100.0    | 3096232 |
| standard5gc-htnp-b9f7d6d9b-z574b.eth1 | DvsPortset-2 |  2103970  | Ens-Lcore-5  | 100.0 |  0.0  | 0.0  |     0      |    9    |   100.0    | 2717350 |
| standard5gc-htnp-b9f7d6d9b-z574b.eth2 | DvsPortset-2 |  2103970  | Ens-Lcore-5  | 100.0 |  0.0  | 0.0  |     0      |    9    |   100.0    | 2717350 |
|                 vmnic4                | DvsPortset-2 |  2103970  | Ens-Lcore-5  | 100.0 |  0.0  | 0.0  |     0      |    9    |   100.0    | 2717350 |
|                 vmnic5                | DvsPortset-2 |  2103970  | Ens-Lcore-5  | 100.0 |  0.0  | 0.0  |     0      |    9    |   100.0    | 2717350 |
|                 vmnic8                | DvsPortset-2 |  2103970  | Ens-Lcore-5  | 100.0 |  0.0  | 0.0  |     0      |    9    |   100.0    | 2717350 |
|                 vmnic9                | DvsPortset-2 |  2103970  | Ens-Lcore-5  | 100.0 |  0.0  | 0.0  |     0      |    9    |   100.0    | 2717350 |
|                 vmnic4                | DvsPortset-2 |  2103971  | Ens-Lcore-6  | 100.0 |  0.0  | 0.0  |     0      |    99   |    0.0     |    0    |
|                 vmnic5                | DvsPortset-2 |  2103971  | Ens-Lcore-6  | 100.0 |  0.0  | 0.0  |     0      |    99   |    0.0     |    0    |
